place,movie_title,rating,year,star_cast
95,Citizen Kane,8.254887726996557,1941,"Orson Welles (dir.), Orson Welles, Joseph Cotten"
96,Lawrence of Arabia,8.254857004487217,1962,"David Lean (dir.), Peter O'Toole, Alec Guinness"
97,M,8.253692311668402,1931,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann"
98,North by Northwest,8.250569378216255,1959,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint"
99,Come and See,8.249946031260913,1985,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova"
10, Vertigo,8.246125168700015,1958,"Alfred Hitchcock (dir.), James Stewart, Kim Novak"
101,Amélie,8.243837255031483,2001,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz"
102,A Clockwork Orange,8.242282723451806,1971,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee"
103,Double Indemnity,8.2390429148892,1944,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck"
104,The Apartment,8.239041061917327,1960,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine"
105,Full Metal Jacket,8.23859494681649,1987,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey"
106,Ikiru,8.236139236633994,1952,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko"
107,Scarface,8.235259345284781,1983,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer"
108,Hamilton,8.228555469373962,2020,"Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo"
109,The Sting,8.227734051571117,1973,"George Roy Hill (dir.), Paul Newman, Robert Redford"
110,To Kill a Mockingbird,8.227577657567041,1962,"Robert Mulligan (dir.), Gregory Peck, John Megna"
111,Heat,8.22466774034015,1995,"Michael Mann (dir.), Al Pacino, Robert De Niro"
112,Taxi Driver,8.224444171884008,1976,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster"
113,Up,8.22430684495386,2009,"Pete Docter (dir.), Edward Asner, Jordan Nagai"
114,Incendies,8.222612426323588,2010,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin"
115,LA Confidential,8.221856572934339,1997,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe"
116,A Separation,8.221474841676626,2011,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami"
117,Metropolis,8.22138447718671,1927,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel"
118,Snatch,8.219038197391477,2000,"Guy Ritchie (dir.), Jason Statham, Brad Pitt"
119,Die Hard,8.2189543370097,1988,"John McTiernan (dir.), Bruce Willis, Alan Rickman"
120,Bicycle Thieves,8.2180563339751,1948,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola"
121,Indiana Jones and the Last Crusade,8.217467436137836,1989,"Steven Spielberg (dir.), Harrison Ford, Sean Connery"
122,1917,8.21140617972457,2019,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay"
123,Like Stars on Earth,8.208885206854845,2007,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan"
124,Downfall,8.203947846081691,2004,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara"
125,For a Few Dollars More,8.201717166932758,1965,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef"
126,Batman Begins,8.200318350011809,2005,"Christopher Nolan (dir.), Christian Bale, Michael Caine"
127,Dangal,8.19779929151134,2016,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar"
128,The Kid,8.19340278713406,1921,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance"
129,Some Like It Hot,8.191676476730969,1959,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis"
130,All About Eve,8.181136740131022,1950,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter"
131,The Father,8.180330439340386,2020,"Florian Zeller (dir.), Anthony Hopkins, Olivia Colman"
132,Green Book,8.175663861854941,2018,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali"
133,The Wolf of Wall Street,8.173909850820566,2013,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill"
134,Judgment at Nuremberg,8.169869569156788,1961,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster"
135,Ran,8.165869058904233,1985,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao"
136,Casino,8.163910391297428,1995,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone"
137,Unforgiven,8.162145472020518,1992,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman"
138,Pan's Labyrinth,8.162119492733646,2006,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil"
139,Spider-Man: No Way Home,8.159205634696226,2021,"Jon Watts (dir.), Tom Holland, Zendaya"
140,There Will Be Blood,8.157213307325632,2007,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano"
141,The Truman Show,8.155097641348117,1998,"Peter Weir (dir.), Jim Carrey, Ed Harris"
142,The Sixth Sense,8.153619109291718,1999,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment"
143,A Beautiful Mind,8.152118821732843,2001,"Ron Howard (dir.), Russell Crowe, Ed Harris"
144,Yojimbo,8.149908150585313,1961,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno"
145,Monty Python and the Holy Grail,8.149672177102287,1975,"Terry Gilliam (dir.), Graham Chapman, John Cleese"
146,The Treasure of the Sierra Madre,8.147990840755336,1948,"John Huston (dir.), Humphrey Bogart, Walter Huston"
147,Shutter Island,8.146950590361943,2010,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer"
148,Jurassic Park,8.14537210424824,1993,"Steven Spielberg (dir.), Sam Neill, Laura Dern"
149,The Great Escape,8.141768277864637,1963,"John Sturges (dir.), Steve McQueen, James Garner"
150,Rashomon,8.141727781121022,1950,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô"
151,Kill Bill: Vol 1,8.13773268227427,2003,"Quentin Tarantino (dir.), Uma Thurman, David Carradine"
152,No Country for Old Men,8.137062169706583,2007,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem"
153,Finding Nemo,8.131372683325022,2003,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres"
154,The Elephant Man,8.12969692926231,1980,"David Lynch (dir.), Anthony Hopkins, John Hurt"
155,Chinatown,8.128794605672125,1974,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway"
156,The Thing,8.127771355279142,1982,"John Carpenter (dir.), Kurt Russell, Wilford Brimley"
157,Raging Bull,8.127654620491697,1980,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty"
158,Gone with the Wind,8.124538713166778,1939,"Victor Fleming (dir.), Clark Gable, Vivien Leigh"
159,V for Vendetta,8.12450081605219,2005,"James McTeigue (dir.), Hugo Weaving, Natalie Portman"
160,Inside Out,8.122859495527628,2015,"Pete Docter (dir.), Amy Poehler, Bill Hader"
161,"Lock, Stock and Two Smoking Barrels",8.121975226997696,1998,"Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher"
162,Dial M for Murder,8.120159557779905,1954,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly"
163,The Secret in Their Eyes,8.117622996249615,2009,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil"
164,Howl's Moving Castle,8.115311292050247,2004,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura"
165,The Bridge on the River Kwai,8.112856630391494,1957,"David Lean (dir.), William Holden, Alec Guinness"
166,"Three Billboards Outside Ebbing, Missouri",8.111334764527799,2017,"Martin McDonagh (dir.), Frances McDormand, Woody Harrelson"
167,Trainspotting,8.110717103506271,1996,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner"
168,Warrior,8.103728386757215,2011,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte"
169,Gran Torino,8.10358409182587,2008,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang"
170,Fargo,8.102787198873177,1996,"Joel Coen (dir.), William H. Macy, Frances McDormand"
171,Prisoners,8.099481969726561,2013,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal"
172,My Neighbor Totoro,8.09382275151778,1988,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka"
173,Million Dollar Baby,8.089395423413553,2004,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood"
174,Catch Me If You Can,8.088231386167182,2002,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks"
175,The Gold Rush,8.086328470058213,1925,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain"
176,Blade Runner,8.08490402337276,1982,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer"
177,Children of Heaven,8.084100742362008,1997,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian"
178,On the Waterfront,8.082947464197044,1954,"Elia Kazan (dir.), Marlon Brando, Karl Malden"
179,The Third Man,8.080617076452421,1949,"Carol Reed (dir.), Orson Welles, Joseph Cotten"
180,12 Years a Slave,8.079049140641764,2013,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams"
181,Before Sunrise,8.079048395813583,1995,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy"
182,Ben-Hur,8.078219886269206,1959,"William Wyler (dir.), Charlton Heston, Jack Hawkins"
183,Wild Strawberries,8.078136834280153,1957,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson"
184,Harry Potter and the Deathly Hallows: Part 2,8.077641141224065,2011,"David Yates (dir.), Daniel Radcliffe, Emma Watson"
185,The General,8.07703475143503,1926,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack"
186,Gone Girl,8.076999491189456,2014,"David Fincher (dir.), Ben Affleck, Rosamund Pike"
187,The Deer Hunter,8.075253674665676,1978,"Michael Cimino (dir.), Robert De Niro, Christopher Walken"
188,In the Name of the Father,8.074078631389977,1993,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite"
189,The Grand Budapest Hotel,8.07397424165504,2014,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham"
190,Barry Lyndon,8.071976281549478,1975,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson"
191,The Wages of Fear,8.071623073809524,1953,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel"
192,Mr Smith Goes to Washington,8.069558787167475,1939,"Frank Capra (dir.), James Stewart, Jean Arthur"
193,Sherlock Jr,8.068980153689354,1924,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire"
194,Hacksaw Ridge,8.068817296934975,2016,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington"
195,Memories of Murder,8.068322307301612,2003,"Bong Joon Ho (dir.), Song Kang-ho, Kim Sang-kyung"
196,Klaus,8.067843593985138,2019,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons"
197,Wild Tales,8.066198933188653,2014,"Damián Szifron (dir.), Darío Grandinetti, María Marull"
198,The Seventh Seal,8.065419925529914,1957,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand"
199,Room,8.064341130752158,2015,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay"
200,Mad Max: Fury Road,8.062836632910873,2015,"George Miller (dir.), Tom Hardy, Charlize Theron"
201,How to Train Your Dragon,8.061525389397975,2010,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler"
202,Mary and Max,8.060976156944687,2009,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman"
203,The Big Lebowski,8.060715828981822,1998,"Joel Coen (dir.), Jeff Bridges, John Goodman"
204,Jaws,8.060007520517578,1975,"Steven Spielberg (dir.), Roy Scheider, Robert Shaw"
205,"Monsters, Inc",8.05944479619826,2001,"Pete Docter (dir.), Billy Crystal, John Goodman"
206,Tokyo Story,8.056406571543862,1953,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama"
207,The Passion of Joan of Arc,8.05506287611262,1928,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain"
208,Dead Poets Society,8.054738116908002,1989,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard"
209,Hotel Rwanda,8.051694875261557,2004,"Terry George (dir.), Don Cheadle, Sophie Okonedo"
210,Everything Everywhere All at Once,8.050487385554305,2022,"Dan Kwan (dir.), Michelle Yeoh, Stephanie Hsu"
211,Ford v Ferrari,8.047036354981737,2019,"James Mangold (dir.), Matt Damon, Christian Bale"
212,Rocky,8.046959444383363,1976,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire"
213,Platoon,8.046293464148816,1986,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger"
214,Stand by Me,8.040826922030554,1986,"Rob Reiner (dir.), Wil Wheaton, River Phoenix"
215,The Terminator,8.040750749025866,1984,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton"
216,Pather Panchali,8.04024428865757,1955,"Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee"
217,Spotlight,8.039741752785131,2015,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton"
218,Rush,8.03771442511145,2013,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth"
219,Logan,8.037277711300755,2017,"James Mangold (dir.), Hugh Jackman, Patrick Stewart"
220,Ratatouille,8.036534751101144,2007,"Brad Bird (dir.), Brad Garrett, Lou Romano"
221,Network,8.0364244480375,1976,"Sidney Lumet (dir.), Faye Dunaway, William Holden"
222,Into the Wild,8.034846942214648,2007,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn"
223,The Wizard of Oz,8.033287535668237,1939,"Victor Fleming (dir.), Judy Garland, Frank Morgan"
224,Groundhog Day,8.030204681754645,1993,"Harold Ramis (dir.), Bill Murray, Andie MacDowell"
225,Before Sunset,8.029879662064124,2004,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy"
226,The Exorcist,8.027060857818757,1973,"William Friedkin (dir.), Ellen Burstyn, Max von Sydow"
227,The Best Years of Our Lives,8.02576252129236,1946,"William Wyler (dir.), Myrna Loy, Dana Andrews"
228,The Incredibles,8.025308593448996,2004,"Brad Bird (dir.), Craig T. Nelson, Samuel L. Jackson"
229,To Be or Not to Be,8.024339762642615,1942,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny"
230,The Battle of Algiers,8.023686937007911,1966,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin"
231,The Grapes of Wrath,8.022092141005025,1940,"John Ford (dir.), Henry Fonda, Jane Darwell"
232,Rebecca,8.021565075914857,1940,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine"
233,Hachi: A Dog's Tale,8.021228064857324,2009,"Lasse Hallström (dir.), Richard Gere, Joan Allen"
234,Pirates of the Caribbean: The Curse of the Black Pearl,8.020996865453249,2003,"Gore Verbinski (dir.), Johnny Depp, Geoffrey Rush"
235,Amores perros,8.020898770241613,2000,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal"
236,Cool Hand Luke,8.020703685400868,1967,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy"
237,La Haine,8.019558361534854,1995,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé"
238,My Father and My Son,8.017876879856672,2005,"Cagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan"
239,Jai Bhim,8.0161345227254,2021,"T.J. Gnanavel (dir.), Suriya, Lijo Mol Jose"
240,The 400 Blows,8.015763359414246,1959,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy"
241,Persona,8.014926478401502,1966,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann"
242,It Happened One Night,8.01382222231089,1934,"Frank Capra (dir.), Clark Gable, Claudette Colbert"
243,Life of Brian,8.012515890331997,1979,"Terry Jones (dir.), Graham Chapman, John Cleese"
244,The Handmaiden,8.012239848642789,2016,"Park Chan-wook (dir.), Kim Min-hee, Ha Jung-woo"
245,The Sound of Music,8.011991439385051,1965,"Robert Wise (dir.), Julie Andrews, Christopher Plummer"
246,Dersu Uzala,8.00829024400358,1975,"Akira Kurosawa (dir.), Maksim Munzuk, Yuriy Solomin"
247,Aladdin,8.005204601381442,1992,"Ron Clements (dir.), Scott Weinger, Robin Williams"
248,Gandhi,8.005040379232522,1982,"Richard Attenborough (dir.), Ben Kingsley, John Gielgud"
249,The Help,8.004872206846303,2011,"Tate Taylor (dir.), Viola Davis, Emma Stone"
250,The Iron Giant,8.003284854765312,1999,"Brad Bird (dir.), Eli Marienthal, Harry Connick Jr."
