TV Show Title,Unique ID,IMDB Rating,Start Year,End Year,TV Rating,Episode Run Time (min),Top Genres
JoJo's Bizarre Adventure,tt2359704,8.4,2012, ,TV-14,30,"[' Action', ' Adventure']"
Bee and PuppyCat,tt4163486,8.2,2013, ,TV-PG,7,"[' Short', ' Action']"
Naruto: Shippûden,tt0988824,8.7,2007,2017,TV-PG,24,"[' Action', ' Adventure']"
Fullmetal Alchemist: Brotherhood,tt1355642,9.1,2009,2010,TV-14,24,"[' Action', ' Adventure']"
Bluey,tt7678620,9.7,2018, ,TV-Y,7,[' Family']
Adventure Time,tt1305826,8.6,2010,2018,TV-PG,11,"[' Action', ' Adventure']"
Naruto,tt0409591,8.4,2002,2007,TV-PG,24,"[' Action', ' Adventure']"
Death Note,tt0877057,9.0,2006,2007,TV-14,24,"[' Crime', ' Drama']"
Gravity Falls,tt1865718,8.9,2012,2016,TV-Y7,23,"[' Action', ' Adventure']"
SPY×FAMILY,tt13706018,8.6,2022, ,TV-14,24,"[' Action', ' Comedy']"
Solar Opposites,tt8910922,8.0,2020, ,TV-MA,22,"[' Comedy', ' Sci-Fi']"
Big Mouth,tt6524350,7.9,2017, ,TV-MA,30,"[' Comedy', ' Romance']"
Classroom of the Elite,tt7263328,7.7,2017, ,TV-14,24,[' Thriller']
Dragon Ball Z,tt0214341,8.8,1989,1996,TV-PG,24,"[' Action', ' Adventure']"
The Owl House,tt8050756,8.3,2020,2022,TV-Y7-FV,22,"[' Action', ' Adventure']"
Bleach,tt0434665,8.2,2004,2012,TV-14,24,"[' Action', ' Adventure']"
Star Wars: The Bad Batch,tt12708542,7.8,2021, ,TV-PG,N/A,"[' Action', ' Adventure']"
Cars on the Road,tt11981568,7.0,2022, ,TV-G,N/A,"[' Adventure', ' Comedy']"
King of the Hill,tt0118375,7.5,1997,2010,TV-14,30,"[' Comedy', ' Drama']"
Made in Abyss,tt7222086,8.4,2017, ,TV-14,325,"[' Action', ' Adventure']"
The Prince,tt11650736,5.6,2021),(2021,TV-MA,14,[' Comedy']
Batman: The Animated Series,tt0103359,9.0,1992,1995,TV-PG,23,"[' Action', ' Adventure']"
One Punch Man,tt4508902,8.7,2015,2019,TV-PG,24,"[' Action', ' Comedy']"
Star Wars: Rebels,tt2930604,8.0,2014,2018,TV-Y7-FV,22,"[' Action', ' Adventure']"
I Am Groot,tt13623148,6.7,2022, ,TV-PG,4,"[' Short', ' Action']"
Castlevania,tt6517102,8.3,2017,2021,TV-MA,23,"[' Action', ' Adventure']"
What If...?,tt10168312,7.4,2021, ,TV-14,32,"[' Action', ' Adventure']"
Black Clover,tt7441658,8.3,2017,2021,TV-PG,24,"[' Action', ' Adventure']"
Cowboy Bebop,tt0213338,8.9,1998,1999,TV-14,24,"[' Action', ' Adventure']"
Vinland Saga,tt10233448,8.8,2019, ,TV-MA,24,"[' Action', ' Adventure']"
Miraculous: Tales of Ladybug & Cat Noir,tt2580046,7.6,2015, ,TV-Y7,20,"[' Action', ' Adventure']"
Final Space,tt6317068,8.2,2018,2021,TV-14,30,"[' Action', ' Adventure']"
Regular Show,tt1710308,8.5,2009,2017,TV-PG,23,"[' Action', ' Adventure']"
The Legend of Vox Machina,tt11247158,8.4,2022, ,TV-MA,30,"[' Action', ' Adventure']"
Winx Club,tt0421482,6.1,2004,2019,TV-Y7,25,"[' Action', ' Adventure']"
The Great North,tt9140632,6.6,2021, ,TV-14,21,[' Comedy']
Overlord,tt4869896,7.7,2015, ,TV-MA,30,"[' Action', ' Adventure']"
High School DxD,tt2230051,7.6,2012,2018,TV-MA,23,"[' Action', ' Comedy']"
Pokémon,tt0168366,7.5,1997, ,TV-Y7,24,"[' Action', ' Adventure']"
Boruto: Naruto Next Generations,tt6342474,6.8,2017, ,TV-14,23,"[' Action', ' Adventure']"
The Wheel of Time: Origins,tt16358754,7.0,2021, ,TV-14,3,"[' Drama', ' Fantasy']"
My Little Pony: Make Your Mark,tt14134334,6.3,2022, ,TV-Y,22,"[' Adventure', ' Comedy']"
Mob Psycho 100,tt5897304,8.6,2016, ,TV-14,24,"[' Action', ' Comedy']"
Beavis and Butt-Head,tt20859904,8.6,2022, ,TV-14,11,"[' Comedy', ' Music']"
Inside Job,tt10231312,7.6,2021, ,TV-MA,30,"[' Comedy', ' Fantasy']"
Chainsaw Man,tt13616990,N/A,2022, ,TV-MA,N/A,"[' Action', ' Adventure']"
Dragon Ball Super,tt4644488,8.3,2015,2018,TV-PG,24,"[' Action', ' Adventure']"
"Bastard!! Heavy Metal, Dark Fantasy",tt17736234,6.6,2022, ,TV-MA,25,"[' Action', ' Adventure']"
The Amazing World of Gumball,tt1942683,8.3,2011,2019,TV-Y7-FV,11,"[' Short', ' Adventure']"
Neon Genesis Evangelion,tt0112159,8.5,1995,1996,TV-MA,24,"[' Action', ' Drama']"
Monster,tt0434706,8.7,2004,2005,TV-14,24,"[' Crime', ' Drama']"
The Legend of Korra,tt1695360,8.4,2012,2014,TV-PG,23,"[' Action', ' Adventure']"
Berserk,tt0318871,8.7,1997,1998,TV-14,23,"[' Action', ' Adventure']"
Summer Time Rendering,tt15686254,8.4,2022, ,TV-14,25,"[' Action', ' Drama']"
Disenchantment,tt5363918,7.2,2018, ,TV-MA,30,"[' Action', ' Adventure']"
The Boondocks,tt0373732,8.5,2005,2014,TV-MA,22,"[' Action', ' Comedy']"
Central Park,tt8129006,6.8,2020, ,TV-PG,25,"[' Comedy', ' Musical']"
Helluva Boss,tt10691770,8.1,2019, ,TV-MA,12,"[' Comedy', ' Crime']"
Gintama,tt0988818,8.7,2005,2021,TV-14,25,"[' Action', ' Comedy']"
Steven Universe,tt3061046,8.2,2013,2020,TV-PG,11,"[' Action', ' Adventure']"
Haikyu!!,tt3398540,8.7,2014,2020,TV-14,24,"[' Comedy', ' Drama']"
Young Justice,tt1641384,8.7,2010,2022,TV-PG,23,"[' Action', ' Adventure']"
Ninjago,tt10650946,8.0,2019, ,TV-Y7-FV,11,"[' Action', ' Adventure']"
Teen Titans Go!,tt2771780,5.4,2013, ,TV-PG,10,"[' Short', ' Action']"
Code Geass,tt0994314,8.7,2006,2008,TV-14,24,"[' Action', ' Drama']"
Mushoku Tensei: Jobless Reincarnation,tt13293588,8.4,2021, ,TV-14,24,"[' Action', ' Adventure']"
Samurai Jack,tt0278238,8.5,2001,2017,TV-MA,25,"[' Action', ' Adventure']"
Amphibia,tt8050740,8.2,2019,2022,TV-Y7,23,"[' Action', ' Adventure']"
Tokyo Revengers,tt13196080,8.1,2021, ,TV-14,24,"[' Action', ' Drama']"
Undone,tt8101850,8.2,2019, ,TV-MA,23,"[' Drama', ' Fantasy']"
Steins;Gate,tt1910272,8.8,2011,2015,TV-14,24,"[' Comedy', ' Drama']"
Ben 10,tt0760437,7.4,2005,2008,TV-Y7-FV,30,"[' Action', ' Adventure']"
Call of the Night,tt15975122,7.6,2022, ,TV-14,23,"[' Comedy', ' Fantasy']"
Phineas and Ferb,tt0852863,8.1,2007,2015,TV-G,15,"[' Short', ' Action']"
PAW Patrol,tt3121722,6.1,2013, ,TV-Y,23,"[' Adventure', ' Comedy']"
Lycoris Recoil,tt16755706,7.7,2022, ,TV-14,24,"[' Action', ' Comedy']"
Beavis and Butt-Head,tt0105950,7.5,1993,2011,TV-14,15,"[' Comedy', ' Music']"
The Dragon Prince,tt8688814,8.4,2018, ,TV-Y7,26,"[' Action', ' Adventure']"
Smiling Friends,tt12074628,8.5,2020, ,TV-MA,12,"[' Short', ' Comedy']"
Kaguya-sama: Love is War,tt9522300,8.6,2019, ,TV-14,24,"[' Comedy', ' Romance']"
Nanatsu no taizai,tt3909224,7.9,2014,2021,TV-14,24,"[' Action', ' Adventure']"
F Is for Family,tt4326894,8.0,2015,2021,TV-MA,30,"[' Comedy', ' Drama']"
My Dress-Up Darling,tt15765670,8.1,2022, ,TV-14,24,"[' Comedy', ' Romance']"
Teen Titans,tt0343314,7.9,2003,2006,TV-Y7-FV,23,"[' Action', ' Adventure']"
Big City Greens,tt7165904,7.4,2018, ,TV-Y7,22,"[' Adventure', ' Comedy']"
Teenage Mutant Ninja Turtles,tt1877889,7.9,2012,2017,TV-Y7-FV,24,"[' Action', ' Adventure']"
Dota: Dragon's Blood,tt14069590,7.8,2021, ,TV-MA,25,"[' Action', ' Adventure']"
Aoashi,tt15792808,8.2,2022, ,TV-14,24,"[' Comedy', ' Drama']"
The Promised Neverland,tt8788458,8.3,2019,2021,TV-14,23,"[' Action', ' Adventure']"
Tales of the Jedi,tt20723374,N/A,2022, ,TV-PG,15,"[' Short', ' Action']"
The Cuphead Show!,tt10611608,7.4,2022, ,TV-Y7,12,"[' Short', ' Action']"
Peppa Pig,tt0426769,6.3,2004, ,TV-Y,9,"[' Adventure', ' Comedy']"
Dogs in Space,tt14906826,7.1,2021, ,TV-Y7,18,"[' Action', ' Adventure']"
Jurassic World: Camp Cretaceous,tt10436228,7.5,2020,2022,TV-PG,24,"[' Action', ' Adventure']"
The Loud House,tt4859164,7.0,2014, ,TV-Y7,22,"[' Short', ' Adventure']"
Robot Chicken,tt0437745,7.7,2001, ,TV-MA,11,"[' Short', ' Adventure']"
Bleach: Thousand-Year Blood War,tt14986406,9.6,2022, ,N/A,24,"[' Action', ' Adventure']"
Sword Art Online,tt2250192,7.6,2012, ,TV-14,24,"[' Action', ' Adventure']"
Firebuds,tt15788548,7.2,2022, ,TV-Y,23,"[' Short', ' Action']"
Human Resources,tt11092142,7.2,2022, ,TV-MA,30,"[' Comedy', ' Romance']"
The Boys Presents: Diabolical,tt16350094,6.9,2022, ,TV-MA,14,"[' Short', ' Action']"
DuckTales,tt5531466,8.3,2017,2021,TV-Y,21,"[' Action', ' Adventure']"
Tiana,tt13622964,N/A,2022, ,N/A,N/A,"[' Adventure', ' Comedy']"
X-Men: The Animated Series,tt0103584,8.5,1992,1997,TV-Y7,23,"[' Action', ' Adventure']"
Gargoyles,tt0108783,8.1,1994,1996,TV-Y7,30,"[' Action', ' Adventure']"
Star vs. the Forces of Evil,tt2758770,8.0,2015,2023,TV-Y7,22,"[' Short', ' Action']"
"Re: Zero, Starting Life in Another World",tt5607616,8.1,2016, ,TV-14,24,"[' Adventure', ' Drama']"
Fairy Tail,tt1528406,7.9,2009,2019,TV-14,24,"[' Action', ' Adventure']"
Is It Wrong to Try to Pick Up Girls in a Dungeon?,tt4728568,7.4,2015, ,TV-14,24,"[' Action', ' Adventure']"
Tekken: Bloodline,tt19875850,6.6,2022, ,TV-14,22,"[' Action', ' Adventure']"
Fullmetal Alchemist,tt0421357,8.5,2003,2004,TV-PG,24,"[' Action', ' Adventure']"
Rise of the Teenage Mutant Ninja Turtles,tt6601082,5.2,2018,2020,TV-Y7-FV,22,"[' Action', ' Adventure']"
Rent-a-Girlfriend,tt11448214,7.2,2020, ,TV-14,23,"[' Comedy', ' Romance']"
Parasyte: The Maxim,tt3358020,8.3,2014,2015,TV-MA,22,"[' Action', ' Drama']"
Fairly OddParents,tt0235918,7.2,2001,2017,TV-Y7,30,"[' Adventure', ' Comedy']"
Star Trek: Prodigy,tt9795876,7.1,2021, ,TV-Y7,24,"[' Action', ' Adventure']"
Baki,tt6357658,6.7,2018,2020,TV-MA,45,"[' Action', ' Drama']"
The Guardians of Justice (Will Save You!),tt16549788,4.9,2022, ,TV-MA,30,"[' Action', ' Adventure']"
Vermeil in Gold: A Desperate Magician Barges Into the Magical World Alongside the Strongest Calamity,tt18561422,6.5,2022, ,N/A,24,"[' Comedy', ' Fantasy']"
Kingdom,tt2404499,8.4,2012, ,TV-MA,N/A,"[' Action', ' Drama']"
Spidey and His Amazing Friends,tt10862280,5.9,2021, ,TV-Y7,22,"[' Action', ' Adventure']"
The Dark Crystal: Age of Resistance,tt6905542,8.4,2019),(2019,TV-PG,60,"[' Adventure', ' Drama']"
Spider-Man: The Animated Series,tt0112175,8.4,1994,1998,TV-Y,23,"[' Action', ' Adventure']"
Dr. Stone,tt9679542,8.1,2019, ,TV-14,24,"[' Action', ' Adventure']"
Star Wars: Visions,tt13622982,7.0,2021, ,TV-PG,N/A,"[' Action', ' Adventure']"
Ninjago: Masters of Spinjitzu,tt1871731,7.3,2011,2019,TV-Y7,30,"[' Action', ' Adventure']"
Assassination Classroom,tt3837246,8.0,2013,2016,TV-14,23,"[' Action', ' Comedy']"
Hazbin Hotel,tt7216636,7.7,2019, ,TV-MA,32,"[' Comedy', ' Crime']"
My Little Pony: Friendship Is Magic,tt1751105,7.7,2010,2020,TV-Y,22,"[' Adventure', ' Comedy']"
Fruits Basket,tt9304350,8.6,2019,2021,TV-14,24,"[' Comedy', ' Drama']"
Detective Conan,tt0131179,8.5,1996, ,TV-14,25,"[' Action', ' Comedy']"
Kim Possible,tt0278866,7.2,2002,2007,TV-G,30,"[' Action', ' Adventure']"
Monster High,tt14118188,N/A,2022, ,N/A,N/A,"[' Comedy', ' Family']"
Batwheels,tt13292830,8.0,2022, ,TV-Y7,N/A,"[' Action', ' Adventure']"
Courage the Cowardly Dog,tt0220880,8.3,1999,2002,TV-Y7,11,"[' Adventure', ' Comedy']"
The Venture Bros.,tt0417373,8.6,2003,2018,TV-MA,22,"[' Action', ' Adventure']"
Rascal Does Not Dream of Bunny Girl Senpai,tt8993398,8.1,2018, ,TV-PG,24,"[' Drama', ' Fantasy']"
Blade Runner: Black Lotus,tt9359796,6.2,2021, ,TV-14,N/A,"[' Action', ' Drama']"
Akame ga Kill!,tt3742982,7.8,2014),(2014,TV-MA,24,"[' Action', ' Adventure']"
Your Lie in April,tt3895150,8.6,2014,2015,TV-PG,23,"[' Comedy', ' Drama']"
The Midnight Gospel,tt11639414,8.2,2020),(2020,TV-MA,23,"[' Adventure', ' Comedy']"
Psycho-Pass,tt2379308,8.2,2012, ,TV-MA,25,"[' Action', ' Crime']"
Paradise PD,tt8235236,6.8,2018,2022,TV-MA,28,"[' Action', ' Comedy']"
Harem in the Labyrinth of Another World,tt13628870,6.3,2022, ,N/A,24,"[' Action', ' Adventure']"
86,tt13718450,8.2,2021,2022,TV-14,24,"[' Action', ' Drama']"
She-Ra and the Princesses of Power,tt7745956,8.0,2018,2020,TV-Y7-FV,30,"[' Action', ' Adventure']"
Highschool of the Dead,tt1685401,7.2,2010),(2010,TV-MA,24,"[' Action', ' Drama']"
Ben 10: Ultimate Alien,tt1622696,7.6,2010,2012,TV-Y7,22,"[' Action', ' Adventure']"
Berserk,tt5847454,6.8,2016,2017,TV-MA,24,"[' Action', ' Adventure']"
Aqua Teen Hunger Force,tt0297494,7.7,2000,2015,TV-MA,15,[' Comedy']
The Devil Is a Part-Timer!,tt2622982,7.6,2013, ,TV-14,24,"[' Action', ' Comedy']"
Scooby-Doo! Mystery Incorporated,tt1660055,8.1,2010,2013,TV-Y7-FV,23,"[' Adventure', ' Comedy']"
Justice League,tt0275137,8.6,2001,2004,TV-PG,22,"[' Action', ' Adventure']"
That Time I Got Reincarnated as a Slime,tt9054364,8.2,2018, ,TV-PG,25,"[' Action', ' Adventure']"
The Powerpuff Girls,tt0175058,7.3,1998,2023,TV-Y7-FV,30,"[' Action', ' Adventure']"
Zootopia+,tt13622956,N/A,2022, ,N/A,N/A,"[' Adventure', ' Comedy']"
The Batman,tt0398417,7.3,2004,2008,TV-Y7,22,"[' Action', ' Adventure']"
Fire Force,tt9307686,7.6,2019, ,TV-14,23,"[' Action', ' Drama']"
Calls,tt9327706,7.7,2021, ,TV-MA,12,"[' Drama', ' Horror']"
Justice League Unlimited,tt6025022,8.7,2004,2006,TV-Y7-FV,23,"[' Action', ' Adventure']"
Tuca & Bertie,tt8036272,7.4,2019,2022,TV-MA,26,[' Comedy']
Ben 10: Alien Force,tt1192169,7.3,2008,2010,TV-Y7,22,"[' Action', ' Adventure']"
Total Drama,tt1173427,7.4,2007,2014,TV-PG,22,"[' Action', ' Comedy']"
ARK: The Animated Series,tt13629530,N/A,2022, ,N/A,30,"[' Action', ' Adventure']"
Darling in the Franxx,tt7865090,7.4,2018),(2018,TV-14,24,"[' Action', ' Drama']"
Rugrats,tt0101188,7.5,1991,2006,TV-Y,30,"[' Adventure', ' Comedy']"
To Your Eternity,tt12063450,8.6,2021, ,TV-MA,25,"[' Adventure', ' Drama']"
Ranking of Kings,tt13409432,8.6,2021, ,TV-14,23,"[' Action', ' Adventure']"
Bee & Puppycat: Lazy in Space,tt13259622,8.8,2013, ,TV-PG,N/A,[]
Dragon Ball,tt0280249,8.6,1995,2003,TV-14,24,"[' Action', ' Adventure']"
Black Lagoon,tt0962826,7.9,2006),(2006,TV-MA,25,"[' Action', ' Adventure']"
ReBoot,tt0108903,7.9,1994,2001,TV-Y7,30,"[' Action', ' Adventure']"
The Rising of the Shield Hero,tt9529546,8.0,2019, ,TV-14,24,"[' Action', ' Adventure']"
Samurai Champloo,tt0423731,8.6,2004,2005,TV-MA,24,"[' Action', ' Adventure']"
Horimiya,tt13103134,8.1,I) (2021, ,TV-14,24,"[' Comedy', ' Drama']"
Sofia the First,tt2136138,6.9,2012,2018,TV-Y,22,"[' Adventure', ' Family']"
Baymax!,tt13622958,7.0,2022, ,TV-PG,12,"[' Short', ' Action']"
KILL la KILL,tt3114390,7.9,2013,2014,TV-14,25,"[' Action', ' Comedy']"
Rurouni Kenshin,tt0182629,8.5,1996,1998,TV-14,24,"[' Action', ' Adventure']"
Avengers Assemble,tt2455546,7.0,2012,2019,TV-Y7,23,"[' Action', ' Adventure']"
Trollhunters: Tales of Arcadia,tt1734135,8.4,2016,2018,TV-Y7,23,"[' Action', ' Adventure']"
Masters of the Universe: Revelation,tt10826054,5.4,2021),(2021,TV-PG,25,"[' Action', ' Adventure']"
Infinity Train,tt8146754,8.4,I) (2019,2021,TV-PG,11,"[' Action', ' Adventure']"
The Cleveland Show,tt1195935,5.6,2009,2013,TV-PG,22,"[' Adventure', ' Comedy']"
Ben 10: Omniverse,tt2293002,6.1,2012,2014,TV-Y7,22,"[' Action', ' Adventure']"
Komi Can't Communicate,tt14626352,7.8,2021, ,TV-14,24,"[' Comedy', ' Drama']"
Dororo,tt9458304,8.3,2019),(2019,Not Rated,30,"[' Action', ' Adventure']"
Close Enough,tt6994156,7.8,2020,2022,TV-14,23,"[' Action', ' Adventure']"
Black Summoner,tt21249100,7.1,2022, ,Not Rated,N/A,[' Fantasy']
Bungou Stray Dogs,tt5679720,7.8,2016, ,TV-14,24,"[' Action', ' Comedy']"
The Ren & Stimpy Show,tt0101178,7.5,1991,1996,TV-Y7,30,"[' Adventure', ' Comedy']"
Goblin Slayer,tt8690728,7.5,2018, ,TV-MA,30,"[' Action', ' Adventure']"
Sonic Prime,tt13961348,N/A,2022, ,TV-Y7,22,"[' Action', ' Adventure']"
Blue's Clues,tt0163929,6.9,1996,2020,TV-Y,25,"[' Comedy', ' Family']"
Batman Beyond,tt0147746,8.1,1999,2001,TV-Y7,23,"[' Action', ' Adventure']"
Yu-Gi-Oh!,tt0249327,7.3,I) (2000,2006,TV-Y,24,"[' Action', ' Adventure']"
Uncle from Another World,tt15219320,7.4,2022, ,TV-MA,24,"[' Comedy', ' Fantasy']"
Recess,tt0126170,7.9,1997,2001,TV-Y,23,"[' Adventure', ' Comedy']"
Army of the Dead: Lost Vegas,tt13334002,N/A,2022, ,TV-MA,N/A,"[' Action', ' Crime']"
Blood of Zeus,tt10009170,7.5,2020, ,TV-MA,30,"[' Action', ' Adventure']"
Gurren Lagann,tt0948103,8.3,2007),(2007,TV-14,24,"[' Action', ' Adventure']"
Hamster & Gretel,tt13330286,6.5,2022, ,TV-Y7,11,"[' Action', ' Adventure']"
Food Wars,tt4731072,8.1,2015, ,TV-14,24,"[' Comedy', ' Drama']"
Hilda,tt6385540,8.5,2018, ,TV-Y7,24,"[' Adventure', ' Comedy']"
The Spectacular Spider-Man,tt0976192,8.3,2008,2009,TV-Y7,23,"[' Action', ' Adventure']"
Æon Flux,tt0111873,7.8,1991,1995,TV-MA,30,"[' Adventure', ' Sci-Fi']"
Gabby's Dollhouse,tt9165438,7.2,2021, ,TV-Y,24,"[' Short', ' Adventure']"
Kakegurui,tt7131720,7.2,2017,2019,TV-14,24,"[' Drama', ' Mystery']"
Dragon Ball Z,tt0121220,8.8,1989,1996,TV-PG,24,"[' Action', ' Adventure']"
Interspecies Reviewers,tt11595706,7.4,2020, ,TV-MA,23,"[' Comedy', ' Fantasy']"
Teenage Mutant Ninja Turtles,tt0318913,7.8,2003,2010,TV-Y7,30,"[' Action', ' Adventure']"
Farzar,tt14589904,5.5,2022, ,TV-MA,30,"[' Action', ' Adventure']"
Super Dragon Ball Heroes,tt8433216,6.8,2018, ,TV-PG,10,"[' Action', ' Adventure']"
Kung Fu Panda: The Dragon Knight,tt18783984,5.9,2022, ,TV-Y7,24,"[' Action', ' Adventure']"
Kuroko's Basketball,tt2348803,8.3,2012,2015,TV-14,24,"[' Comedy', ' Sport']"
The Lion Guard,tt3793630,6.4,2015,2022,TV-Y,30,"[' Action', ' Adventure']"
Monsters at Work,tt8610082,7.0,2021, ,TV-G,22,"[' Adventure', ' Comedy']"
Inuyasha,tt0290223,7.9,2000,2004,TV-14,24,"[' Action', ' Adventure']"
Arthur,tt0169414,7.4,1996,2022,TV-Y,30,"[' Short', ' Adventure']"
Yu Yu Hakusho: Ghost Files,tt0185133,8.5,1992,1995,TV-PG,24,"[' Action', ' Adventure']"
Dead End: Paranormal Park,tt12642764,6.7,2022, ,TV-Y7,30,"[' Adventure', ' Comedy']"
Redo of Healer,tt13370404,6.3,2021, ,TV-MA,24,"[' Action', ' Adventure']"
The Grim Adventures of Billy & Mandy,tt0292800,7.7,2001,2007,TV-Y7-FV,30,"[' Adventure', ' Comedy']"
Ultimate Spider-Man,tt1722512,7.2,2012,2017,TV-Y7,23,"[' Action', ' Adventure']"
The Legend of Hanuman,tt13854248,9.1,2021, ,N/A,25,[]
Fate/Zero,tt2051178,8.2,2011,2012,TV-MA,24,"[' Action', ' Adventure']"
Hey Arnold!,tt0115200,7.6,1996,2004,TV-Y7,15,"[' Comedy', ' Drama']"
Engage Kiss,tt21114720,6.3,2022, ,TV-14,24,"[' Action', ' Comedy']"
Daria,tt0118298,8.1,1997,2002,TV-PG,30,"[' Comedy', ' Drama']"
Moral Orel,tt0476922,8.0,2005,2009,TV-MA,11,"[' Comedy', ' Drama']"
Dexter's Laboratory,tt0115157,7.9,1996,2003,TV-G,23,"[' Short', ' Adventure']"
He-Man and the Masters of the Universe,tt11465278,5.8,2021,2022,TV-Y7,26,"[' Action', ' Adventure']"
Scooby-Doo and Guess Who?,tt8456094,7.3,2019,2021,TV-PG,22,"[' Adventure', ' Comedy']"
The Tiny Chef Show,tt10558660,5.8,2022, ,TV-Y7,N/A,[' Short']
Konosuba: God's Blessing on This Wonderful World!,tt5370118,7.8,2016,2017,TV-14,24,"[' Adventure', ' Comedy']"
We Bare Bears,tt4839610,7.9,2014,2019,TV-PG,30,"[' Adventure', ' Comedy']"
Sailor Moon,tt0103369,7.7,1992,1997,TV-PG,30,"[' Action', ' Adventure']"
Rapunzel's Tangled Adventure,tt4902964,7.7,2017,2020,TV-Y7,21,"[' Action', ' Adventure']"
Puppy Dog Pals,tt6688750,6.9,2017, ,TV-Y,24,"[' Short', ' Adventure']"
Arifureta: From Commonplace to World's Strongest,tt10431290,7.1,2019, ,TV-MA,23,"[' Action', ' Adventure']"
Hey Duggee,tt4291050,8.9,2014, ,TV-Y,7,"[' Comedy', ' Family']"
Superman: The Animated Series,tt0115378,8.1,1996,2000,TV-PG,30,"[' Action', ' Adventure']"
My Stepmom's Daughter Is My Ex,tt19848112,6.4,2022, ,TV-14,23,"[' Comedy', ' Romance']"
Dragons: Race to the Edge,tt4816058,8.2,2015,2018,TV-Y7-FV,22,"[' Action', ' Adventure']"
The Future Diary,tt2069441,7.5,2011,2013,TV-MA,25,"[' Action', ' Drama']"
Voltron: Legendary Defender,tt5580664,8.1,2016,2018,TV-Y7-FV,23,"[' Action', ' Adventure']"
"Ed, Edd n Eddy",tt0184111,7.5,1999,2008,TV-Y7,30,"[' Comedy', ' Family']"
RWBY,tt3066242,7.6,2012, ,TV-PG,13,"[' Action', ' Adventure']"
Beastars,tt11043632,7.7,2019, ,TV-MA,23,"[' Crime', ' Drama']"
Metalocalypse,tt0839188,8.3,2006,2013,TV-MA,11,"[' Comedy', ' Music']"
Dragon Ball Z Kai,tt1409055,8.3,2009,2015,TV-14,24,"[' Action', ' Adventure']"
Q-Force,tt10140028,6.5,2021),(2021,TV-MA,30,"[' Action', ' Adventure']"
Jackie Chan Adventures,tt0259141,7.4,2000,2005,TV-Y7,30,"[' Action', ' Adventure']"
The Quintessential Quintuplets,tt9584920,7.7,2019, ,TV-PG,24,"[' Comedy', ' Drama']"
Daniel Tiger's Neighborhood,tt2014553,7.5,2012, ,TV-Y,26,"[' Family', ' Fantasy']"
Banana Fish,tt8515016,8.2,2018),(2018,TV-MA,22,"[' Action', ' Adventure']"
Johnny Bravo,tt0118360,7.2,1997,2004,TV-Y7,30,"[' Short', ' Adventure']"
Brickleberry,tt2022713,7.4,2012,2015,TV-MA,22,[' Comedy']
