TV Show Title,Unique ID,IMDB Rating,Start Year,End Year,TV Rating,Episode Run Time (min),Top Genres
Dead End: Paranormal Park,tt12642764,6.7,2022, ,TV-Y7,30,"[' Adventure', ' Comedy']"
Regular Show,tt1710308,8.5,2009,2017,TV-PG,23,"[' Action', ' Adventure']"
Spirit Rangers,tt13351446,8.1,2022, ,TV-Y,22,"[' Action', ' Adventure']"
Pokémon,tt0168366,7.5,1997, ,TV-Y7,24,"[' Action', ' Adventure']"
Beavis and Butt-Head,tt20859904,8.6,2022, ,TV-14,11,"[' Comedy', ' Music']"
The Wheel of Time: Origins,tt16358754,7.0,2021, ,TV-14,3,"[' Drama', ' Fantasy']"
The Great North,tt9140632,6.6,2021, ,TV-14,21,[' Comedy']
The Boondocks,tt0373732,8.5,2005,2014,TV-MA,22,"[' Action', ' Comedy']"
Berserk,tt0318871,8.7,1997,1998,TV-14,23,"[' Action', ' Adventure']"
Dragon Ball Super,tt4644488,8.3,2015,2018,TV-PG,24,"[' Action', ' Adventure']"
Ninjago,tt10650946,8.0,2019, ,TV-Y7-FV,11,"[' Action', ' Adventure']"
Scooby-Doo! Mystery Incorporated,tt1660055,8.1,2010,2013,TV-Y7-FV,23,"[' Adventure', ' Comedy']"
Neon Genesis Evangelion,tt0112159,8.5,1995,1996,TV-MA,24,"[' Action', ' Drama']"
The Eminence in Shadow,tt14115938,7.7,2022, ,N/A,N/A,"[' Action', ' Comedy']"
Inside Job,tt10231312,7.6,2021, ,TV-PG,30,"[' Comedy', ' Fantasy']"
Classroom of the Elite,tt7263328,7.7,2017, ,TV-14,24,[' Thriller']
Made in Abyss,tt7222086,8.4,2017, ,TV-14,325,"[' Action', ' Adventure']"
The Dragon Prince,tt8688814,8.4,2018, ,TV-Y7,26,"[' Action', ' Adventure']"
Monster,tt0434706,8.7,2004,2005,TV-14,24,"[' Crime', ' Drama']"
Haikyu!!,tt3398540,8.7,2014,2020,TV-14,24,"[' Comedy', ' Drama']"
The Legend of Korra,tt1695360,8.4,2012,2014,TV-PG,23,"[' Action', ' Adventure']"
Disenchantment,tt5363918,7.2,2018, ,TV-MA,30,"[' Action', ' Adventure']"
Phineas and Ferb,tt0852863,8.1,2007,2015,TV-G,15,"[' Short', ' Action']"
Cars on the Road,tt11981568,7.0,2022, ,TV-G,N/A,"[' Adventure', ' Comedy']"
Gintama,tt0988818,8.7,2005,2021,TV-14,25,"[' Action', ' Comedy']"
The Amazing World of Gumball,tt1942683,8.3,2011,2019,TV-Y7-FV,11,"[' Short', ' Adventure']"
Steven Universe,tt3061046,8.2,2013,2020,TV-PG,11,"[' Action', ' Adventure']"
Overlord,tt4869896,7.7,2015, ,TV-MA,30,"[' Action', ' Adventure']"
PAW Patrol,tt3121722,6.1,2013, ,TV-Y,23,"[' Adventure', ' Comedy']"
Tokyo Revengers,tt13196080,8.1,2021, ,TV-14,24,"[' Action', ' Drama']"
Young Justice,tt1641384,8.7,2010,2022,TV-PG,23,"[' Action', ' Adventure']"
The Legend of Hanuman,tt13854248,9.1,2021, ,N/A,25,[]
Central Park,tt8129006,6.8,2020, ,TV-PG,25,"[' Comedy', ' Musical']"
Undone,tt8101850,8.2,2019, ,TV-MA,23,"[' Drama', ' Fantasy']"
Star Trek: Prodigy,tt9795876,7.1,2021, ,TV-Y7,24,"[' Action', ' Adventure']"
Spidey and His Amazing Friends,tt10862280,5.9,2021, ,TV-Y7,22,"[' Action', ' Adventure']"
F Is for Family,tt4326894,8.0,2015,2021,TV-MA,30,"[' Comedy', ' Drama']"
Teen Titans,tt0343314,7.9,2003,2006,TV-Y7-FV,23,"[' Action', ' Adventure']"
Code Geass,tt0994314,8.7,2006,2008,TV-14,24,"[' Action', ' Drama']"
Helluva Boss,tt10691770,8.1,2019, ,TV-MA,12,"[' Comedy', ' Crime']"
Ben 10,tt0760437,7.4,2005,2008,TV-Y7-FV,30,"[' Action', ' Adventure']"
Jurassic World: Camp Cretaceous,tt10436228,7.5,2020,2022,TV-PG,24,"[' Action', ' Adventure']"
Kaguya-sama: Love is War,tt9522300,8.6,2019, ,TV-14,24,"[' Comedy', ' Romance']"
Summer Time Rendering,tt15686254,8.4,2022, ,TV-14,25,"[' Action', ' Drama']"
Final Space,tt6317068,8.2,2018,2021,TV-14,30,"[' Action', ' Adventure']"
Steins;Gate,tt1910272,8.8,2011,2015,TV-14,24,"[' Comedy', ' Drama']"
Courage the Cowardly Dog,tt0220880,8.3,1999,2002,TV-Y7,11,"[' Adventure', ' Comedy']"
Robot Chicken,tt0437745,7.7,2001, ,TV-14,11,"[' Short', ' Adventure']"
Big City Greens,tt7165904,7.4,2018, ,TV-Y7,22,"[' Adventure', ' Comedy']"
My Dress-Up Darling,tt15765670,8.1,2022, ,TV-14,24,"[' Comedy', ' Romance']"
Amphibia,tt8050740,8.2,2019,2022,TV-Y7,23,"[' Action', ' Adventure']"
Call of the Night,tt15975122,7.6,2022, ,TV-14,23,"[' Comedy', ' Fantasy']"
Ninjago: Masters of Spinjitzu,tt1871731,7.3,2011,2019,TV-Y7,30,"[' Action', ' Adventure']"
Fairly OddParents,tt0235918,7.2,2001,2017,TV-Y7,30,"[' Adventure', ' Comedy']"
The Loud House,tt4859164,7.0,2014, ,TV-Y7,22,"[' Short', ' Adventure']"
Samurai Jack,tt0278238,8.5,2001,2017,TV-MA,25,"[' Action', ' Adventure']"
Teen Titans Go!,tt2771780,5.4,2013, ,TV-PG,10,"[' Short', ' Action']"
Nanatsu no taizai,tt3909224,7.9,2014,2021,TV-14,24,"[' Action', ' Adventure']"
Sword Art Online,tt2250192,7.6,2012, ,TV-14,24,"[' Action', ' Adventure']"
Peppa Pig,tt0426769,6.3,2004, ,TV-Y,9,"[' Adventure', ' Comedy']"
"Bastard!! Heavy Metal, Dark Fantasy",tt17736234,6.5,2022, ,TV-MA,25,"[' Action', ' Adventure']"
Human Resources,tt11092142,7.2,2022, ,TV-MA,30,"[' Comedy', ' Romance']"
The Guardians of Justice (Will Save You!),tt16549788,4.9,2022, ,TV-MA,30,"[' Action', ' Adventure']"
The Promised Neverland,tt8788458,8.3,2019,2021,TV-14,23,"[' Action', ' Adventure']"
Scooby-Doo and Guess Who?,tt8456094,7.3,2019,2021,TV-PG,22,"[' Adventure', ' Comedy']"
Teenage Mutant Ninja Turtles,tt1877889,7.9,2012,2017,TV-Y7-FV,24,"[' Action', ' Adventure']"
Smiling Friends,tt12074628,8.5,2020, ,TV-MA,12,"[' Short', ' Comedy']"
Fairy Tail,tt1528406,7.9,2009,2019,TV-14,24,"[' Action', ' Adventure']"
The Prince,tt11650736,5.6,2021),(2021,TV-MA,14,[' Comedy']
Dota: Dragon's Blood,tt14069590,7.8,2021, ,TV-MA,25,"[' Action', ' Adventure']"
Winx Club,tt0421482,6.1,2004,2019,TV-Y7,25,"[' Action', ' Adventure']"
Mushoku Tensei: Jobless Reincarnation,tt13293588,8.4,2021, ,TV-14,24,"[' Action', ' Adventure']"
DuckTales,tt5531466,8.3,2017,2021,TV-Y,21,"[' Action', ' Adventure']"
Dr. Stone,tt9679542,8.1,2019, ,TV-14,24,"[' Action', ' Adventure']"
X-Men: The Animated Series,tt0103584,8.5,1992,1997,TV-Y7,23,"[' Action', ' Adventure']"
The Dark Crystal: Age of Resistance,tt6905542,8.4,2019),(2019,TV-PG,60,"[' Adventure', ' Drama']"
Beavis and Butt-Head,tt0105950,7.5,1993, ,TV-14,15,"[' Comedy', ' Music']"
Paradise PD,tt8235236,6.8,2018,2022,TV-MA,28,"[' Action', ' Comedy']"
Parasyte: The Maxim,tt3358020,8.3,2014,2015,TV-MA,22,"[' Action', ' Drama']"
Mobile Suit Gundam: The Witch from Mercury,tt15433166,8.1,2022, ,TV-14,N/A,"[' Action', ' Sci-Fi']"
Monster High,tt14118188,8.1,2022, ,N/A,N/A,"[' Comedy', ' Family']"
Kim Possible,tt0278866,7.2,2002,2023,TV-G,30,"[' Action', ' Adventure']"
High School DxD,tt2230051,7.6,2012,2018,TV-MA,23,"[' Action', ' Comedy']"
Housing Complex C,tt22174464,6.9,2022, ,TV-14,26,"[' Horror', ' Mystery']"
Rise of the Teenage Mutant Ninja Turtles,tt6601082,5.2,2018,2020,TV-Y7-FV,22,"[' Action', ' Adventure']"
Baki,tt6357658,6.7,2018,2020,TV-MA,45,"[' Action', ' Drama']"
"Re: Zero, Starting Life in Another World",tt5607616,8.1,2016, ,TV-14,24,"[' Adventure', ' Drama']"
Fruits Basket,tt9304350,8.6,2019,2021,TV-14,24,"[' Comedy', ' Drama']"
Berserk: The Golden Age Arc - Memorial Edition,tt22445494,8.7,2022, ,N/A,N/A,"[' Action', ' Adventure']"
The Super Mario Bros. Super Show!,tt0096707,6.2,1989),(1989,TV-Y7,30,"[' Action', ' Adventure']"
Star vs. the Forces of Evil,tt2758770,8.0,2015,2023,TV-Y7,22,"[' Short', ' Action']"
Assassination Classroom,tt3837246,8.0,2013,2016,TV-14,23,"[' Action', ' Comedy']"
My Little Pony: Friendship Is Magic,tt1751105,7.7,2010,2020,TV-Y,22,"[' Adventure', ' Comedy']"
Your Lie in April,tt3895150,8.6,2014,2015,TV-PG,23,"[' Comedy', ' Drama']"
The Cuphead Show!,tt10611608,7.4,2022, ,TV-Y7,12,"[' Short', ' Action']"
Shinobi no Ittoki,tt21345876,8.1,2022, ,N/A,N/A,[' Action']
Spider-Man: The Animated Series,tt0112175,8.4,1994,1998,TV-Y,23,"[' Action', ' Adventure']"
The Boys Presents: Diabolical,tt16350094,6.9,2022, ,TV-MA,14,"[' Short', ' Action']"
Mickey Mouse Clubhouse,tt0784896,5.7,2006,2016,TV-Y,30,"[' Adventure', ' Comedy']"
Masters of the Universe: Revelation,tt10826054,5.4,2021),(2021,TV-PG,25,"[' Action', ' Adventure']"
To Your Eternity,tt12063450,8.5,2021, ,TV-MA,25,"[' Adventure', ' Drama']"
Aoashi,tt15792808,8.2,2022, ,TV-14,24,"[' Comedy', ' Drama']"
The Venture Bros.,tt0417373,8.6,2003,2018,TV-MA,22,"[' Action', ' Adventure']"
Rugrats,tt0101188,7.5,1991,2006,TV-Y,30,"[' Adventure', ' Comedy']"
Hazbin Hotel,tt7216636,7.7,2019, ,TV-MA,32,"[' Comedy', ' Crime']"
Justice League Unlimited,tt6025022,8.7,2004,2006,TV-Y7-FV,23,"[' Action', ' Adventure']"
Yu-Gi-Oh!,tt0249327,7.3,I) (2000,2006,TV-Y,24,"[' Action', ' Adventure']"
Berserk,tt5847454,6.8,2016,2017,TV-MA,24,"[' Action', ' Adventure']"
Is It Wrong to Try to Pick Up Girls in a Dungeon?,tt4728568,7.4,2015, ,TV-14,24,"[' Action', ' Adventure']"
She-Ra and the Princesses of Power,tt7745956,8.0,2018,2020,TV-Y7-FV,30,"[' Action', ' Adventure']"
Kuroko's Basketball,tt2348803,8.3,2012,2015,TV-14,24,"[' Comedy', ' Sport']"
The Midnight Gospel,tt11639414,8.2,2020),(2020,TV-MA,23,"[' Adventure', ' Comedy']"
Hamster & Gretel,tt13330286,6.6,2022, ,TV-Y7,11,"[' Action', ' Adventure']"
Golden Kamuy,tt8225204,8.1,2018, ,TV-MA,24,"[' Action', ' Adventure']"
The Powerpuff Girls,tt0175058,7.3,1998,2007,TV-Y7-FV,30,"[' Action', ' Adventure']"
Vermeil in Gold: A Desperate Magician Barges Into the Magical World Alongside the Strongest Calamity,tt18561422,6.5,2022, ,N/A,24,"[' Comedy', ' Fantasy']"
Ben 10: Ultimate Alien,tt1622696,7.6,2010,2012,TV-Y7,22,"[' Action', ' Adventure']"
Fire Force,tt9307686,7.6,2019, ,TV-14,23,"[' Action', ' Drama']"
That Time I Got Reincarnated as a Slime,tt9054364,8.2,2018, ,TV-PG,25,"[' Action', ' Adventure']"
Monster High,tt6928178,7.4,2010,2017,TV-Y7-FV,2,"[' Comedy', ' Fantasy']"
Detective Conan,tt0131179,8.5,1996, ,TV-14,25,"[' Action', ' Comedy']"
Justice League,tt0275137,8.6,2001,2004,TV-PG,22,"[' Action', ' Adventure']"
Gargoyles,tt0108783,8.1,1994,1996,TV-Y7,30,"[' Action', ' Adventure']"
Psycho-Pass,tt2379308,8.2,2012, ,TV-MA,25,"[' Action', ' Crime']"
Sofia the First,tt2136138,6.9,2012,2018,TV-Y,22,"[' Adventure', ' Family']"
Calls,tt9327706,7.7,2021, ,TV-MA,12,"[' Drama', ' Horror']"
Lycoris Recoil,tt16755706,7.7,2022, ,TV-14,24,"[' Action', ' Comedy']"
Blue's Clues,tt0163929,6.9,1996,2020,TV-Y,25,"[' Comedy', ' Family']"
Hey Arnold!,tt0115200,7.6,1996,2004,TV-Y7,15,"[' Comedy', ' Drama']"
Rent-a-Girlfriend,tt11448214,7.2,2020, ,TV-14,23,"[' Comedy', ' Romance']"
Aqua Teen Hunger Force,tt0297494,7.7,2000,2015,TV-MA,15,[' Comedy']
Fullmetal Alchemist,tt0421357,8.5,2003,2004,TV-PG,24,"[' Action', ' Adventure']"
86,tt13718450,8.2,2021,2022,TV-14,24,"[' Action', ' Drama']"
My Little Pony: Make Your Mark,tt14134334,6.2,2022, ,TV-Y,22,"[' Adventure', ' Comedy']"
Star Wars: Visions,tt13622982,7.0,2021, ,TV-PG,N/A,"[' Action', ' Adventure']"
Zootopia+,tt13622956,N/A,2022, ,N/A,N/A,"[' Adventure', ' Comedy']"
Kingdom,tt2404499,8.5,2012, ,TV-MA,N/A,"[' Action', ' Drama']"
Ben 10: Alien Force,tt1192169,7.3,2008,2010,TV-Y7,22,"[' Action', ' Adventure']"
Total Drama,tt1173427,7.4,2007,2014,TV-PG,22,"[' Action', ' Comedy']"
Dexter's Laboratory,tt0115157,7.9,1996,2003,TV-G,23,"[' Short', ' Adventure']"
Akame ga Kill!,tt3742982,7.8,2014),(2014,TV-MA,24,"[' Action', ' Adventure']"
The Rising of the Shield Hero,tt9529546,8.0,2019, ,TV-14,24,"[' Action', ' Adventure']"
Inuyasha,tt0290223,7.9,2000,2004,TV-14,24,"[' Action', ' Adventure']"
Black Lagoon,tt0962826,7.9,2006),(2006,TV-MA,25,"[' Action', ' Adventure']"
"What's New, Scooby-Doo?",tt0306274,7.2,2002,2006,TV-Y7,30,"[' Adventure', ' Comedy']"
The Cleveland Show,tt1195935,5.6,2009,2013,TV-PG,22,"[' Adventure', ' Comedy']"
Batman Beyond,tt0147746,8.1,1999,2001,TV-Y7,23,"[' Action', ' Adventure']"
Ranking of Kings,tt13409432,8.6,2021, ,TV-14,23,"[' Action', ' Adventure']"
Samurai Champloo,tt0423731,8.6,2004,2005,TV-MA,24,"[' Action', ' Adventure']"
Gabby's Dollhouse,tt9165438,7.2,2021, ,TV-Y,24,"[' Short', ' Adventure']"
Baymax!,tt13622958,7.0,2022, ,TV-PG,12,"[' Short', ' Action']"
Komi Can't Communicate,tt14626352,7.8,2021, ,TV-14,24,"[' Comedy', ' Drama']"
Blade Runner: Black Lotus,tt9359796,6.2,2021, ,TV-14,N/A,"[' Action', ' Drama']"
Rascal Does Not Dream of Bunny Girl Senpai,tt8993398,8.1,2018, ,TV-PG,24,"[' Drama', ' Fantasy']"
Tiana,tt13622964,N/A,2022, ,N/A,N/A,"[' Adventure', ' Comedy']"
Dragon Ball,tt0280249,8.6,1995,2003,TV-14,24,"[' Action', ' Adventure']"
Goblin Slayer,tt8690728,7.5,2018, ,TV-MA,30,"[' Action', ' Adventure']"
ARK: The Animated Series,tt13629530,N/A,2022, ,N/A,30,"[' Action', ' Adventure']"
The Batman,tt0398417,7.3,2004,2008,TV-Y7,22,"[' Action', ' Adventure']"
We Bare Bears,tt4839610,7.9,2014,2019,TV-PG,30,"[' Adventure', ' Comedy']"
Bungou Stray Dogs,tt5679720,7.8,2016, ,TV-14,24,"[' Action', ' Comedy']"
Trollhunters: Tales of Arcadia,tt1734135,8.4,2016,2018,TV-Y7,23,"[' Action', ' Adventure']"
Horimiya,tt13103134,8.1,I) (2021, ,TV-14,24,"[' Comedy', ' Drama']"
Dororo,tt9458304,8.3,2019),(2019,Not Rated,30,"[' Action', ' Adventure']"
Batwheels,tt13292830,8.0,2022, ,TV-Y7,N/A,"[' Action', ' Adventure']"
Tekken: Bloodline,tt19875850,6.6,2022, ,TV-14,22,"[' Action', ' Adventure']"
Arthur,tt0169414,7.4,1996,2022,TV-Y,30,"[' Short', ' Adventure']"
Darling in the Franxx,tt7865090,7.4,2018),(2018,TV-14,24,"[' Action', ' Drama']"
Close Enough,tt6994156,7.8,2020,2022,TV-14,23,"[' Action', ' Adventure']"
Infinity Train,tt8146754,8.4,I) (2019,2021,TV-PG,11,"[' Action', ' Adventure']"
Teenage Mutant Ninja Turtles,tt0318913,7.8,2003,2010,TV-Y7,30,"[' Action', ' Adventure']"
Tuca & Bertie,tt8036272,7.4,2019,2022,TV-MA,26,[' Comedy']
The Shivering Truth,tt6905458,8.1,2018, ,TV-MA,11,"[' Comedy', ' Fantasy']"
Yu Yu Hakusho: Ghost Files,tt0185133,8.5,1992,1995,TV-PG,24,"[' Action', ' Adventure']"
Abominable and the Invisible City,tt18214248,7.5,2022, ,N/A,N/A,"[' Adventure', ' Comedy']"
Super Crooks,tt14272628,7.1,2021, ,TV-MA,30,"[' Action', ' Adventure']"
Ultimate Spider-Man,tt1722512,7.2,2012,2017,TV-Y7,23,"[' Action', ' Adventure']"
Æon Flux,tt0111873,7.8,1991,1995,TV-MA,30,"[' Adventure', ' Sci-Fi']"
Daria,tt0118298,8.1,1997,2002,TV-PG,30,"[' Comedy', ' Drama']"
Monsters at Work,tt8610082,7.0,2021, ,TV-G,22,"[' Adventure', ' Comedy']"
Firebuds,tt15788548,7.0,2022, ,TV-Y,23,"[' Short', ' Action']"
Uzaki-chan Wants to Hang Out!,tt12464182,6.9,2020, ,TV-14,24,"[' Comedy', ' Drama']"
Craig of the Creek,tt7713450,7.4,2018, ,TV-Y7,30,"[' Short', ' Adventure']"
Recess,tt0126170,7.9,1997,2001,TV-Y,23,"[' Adventure', ' Comedy']"
Army of the Dead: Lost Vegas,tt13334002,N/A,2022, ,TV-MA,N/A,"[' Action', ' Crime']"
Blood of Zeus,tt10009170,7.5,2020, ,TV-MA,30,"[' Action', ' Adventure']"
Kakegurui,tt7131720,7.2,2017,2019,TV-14,24,"[' Drama', ' Mystery']"
The Lion Guard,tt3793630,6.4,2015,2022,TV-Y,30,"[' Action', ' Adventure']"
Ben 10: Omniverse,tt2293002,6.1,2012,2014,TV-Y7,22,"[' Action', ' Adventure']"
The Daily Life of the Immortal King,tt11755260,7.2,2020, ,TV-14,18,"[' Action', ' Adventure']"
Kung Fu Panda: The Dragon Knight,tt18783984,5.9,2022, ,TV-Y7,24,"[' Action', ' Adventure']"
The Spectacular Spider-Man,tt0976192,8.3,2008,2009,TV-Y7,23,"[' Action', ' Adventure']"
The Grim Adventures of Billy & Mandy,tt0292800,7.7,2001,2007,TV-Y7-FV,30,"[' Adventure', ' Comedy']"
KILL la KILL,tt3114390,7.9,2013,2014,TV-14,25,"[' Action', ' Comedy']"
Food Wars,tt4731072,8.1,2015, ,TV-14,24,"[' Comedy', ' Drama']"
Brickleberry,tt2022713,7.3,2012,2015,TV-MA,22,[' Comedy']
The Devil Is a Part-Timer!,tt2622982,7.6,2013, ,TV-14,24,"[' Action', ' Comedy']"
"More Than a Married Couple, But Not Lovers.",tt16231800,8.6,2022, ,N/A,N/A,"[' Comedy', ' Drama']"
Spawn,tt0118475,8.1,1997,1999,TV-MA,30,"[' Action', ' Adventure']"
Sailor Moon,tt0103369,7.7,1992,1997,TV-PG,30,"[' Action', ' Adventure']"
Jackie Chan Adventures,tt0259141,7.4,2000,2005,TV-Y7,30,"[' Action', ' Adventure']"
Puppy Dog Pals,tt6688750,6.9,2017, ,TV-Y,24,"[' Short', ' Adventure']"
Uncle from Another World,tt15219320,7.4,2022, ,TV-MA,24,"[' Comedy', ' Fantasy']"
Beastars,tt11043632,7.7,2019, ,TV-MA,23,"[' Crime', ' Drama']"
Hunter x Hunter,tt0426719,8.6,1999,2001,TV-PG,23,"[' Action', ' Adventure']"
Super Dragon Ball Heroes,tt8433216,6.8,2018, ,TV-PG,10,"[' Action', ' Adventure']"
Farzar,tt14589904,5.6,2022, ,TV-MA,30,"[' Action', ' Adventure']"
Blue's Clues & You,tt9000424,7.0,2019, ,TV-G,N/A,"[' Adventure', ' Comedy']"
Hilda,tt6385540,8.5,2018, ,TV-Y7,24,"[' Adventure', ' Comedy']"
Bubble Guppies,tt0965404,6.4,2011,2022,TV-Y,24,"[' Short', ' Adventure']"
Rosie's Rules,tt21329138,9.0,2022),(2022,TV-Y,N/A,[]
The Ren & Stimpy Show,tt0101178,7.5,1991,1996,TV-Y7,30,"[' Adventure', ' Comedy']"
Tiger & Bunny,tt2061527,7.3,2011, ,TV-14,25,"[' Action', ' Adventure']"
Dragon Ball Z Kai,tt1409055,8.3,2009,2015,TV-14,24,"[' Action', ' Adventure']"
Codename: Kids Next Door,tt0312109,7.2,2002,2008,TV-Y7,23,"[' Action', ' Adventure']"
Dragon Ball Z,tt0121220,8.8,1989,1996,TV-PG,24,"[' Action', ' Adventure']"
Gurren Lagann,tt0948103,8.3,2007),(2007,TV-14,24,"[' Action', ' Adventure']"
Another,tt2176165,7.5,2012),(2012,TV-MA,300,"[' Drama', ' Horror']"
Dragons: Race to the Edge,tt4816058,8.2,2015,2018,TV-Y7-FV,22,"[' Action', ' Adventure']"
Beetlejuice,tt0096543,7.3,1989,1991,TV-Y,22,"[' Short', ' Adventure']"
Rapunzel's Tangled Adventure,tt4902964,7.7,2017,2020,TV-Y7,21,"[' Action', ' Adventure']"
Ultraman,tt8699270,6.8,2019,2023,TV-14,25,"[' Action', ' Adventure']"
